,qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,track,circuitId,year,driver,min time
0,1,18,1,McLaren,22,1,86.572,85.187,86.714,Australian Grand Prix,1,2008,Lewis Hamilton,85.187
22,23,19,13,Ferrari,2,1,95.347,94.412,95.748,Malaysian Grand Prix,2,2008,Felipe Massa,94.412
44,45,20,9,BMW Sauber,4,1,92.893,91.745,93.096,Bahrain Grand Prix,3,2008,Robert Kubica,91.745
66,67,21,8,Ferrari,1,1,80.701,80.784,81.813,Spanish Grand Prix,4,2008,Kimi RÃ_ikkÃÂ¦nen,80.701
88,89,22,13,Ferrari,2,1,85.994,86.192,87.617,Turkish Grand Prix,5,2008,Felipe Massa,85.994
108,109,23,13,Ferrari,2,1,75.19,75.11,75.787,Monaco Grand Prix,6,2008,Felipe Massa,75.11
128,129,24,1,McLaren,22,1,76.909,77.034,77.886,Canadian Grand Prix,7,2008,Lewis Hamilton,76.909
148,149,25,8,Ferrari,1,1,75.133,75.161,76.449,French Grand Prix,8,2008,Kimi RÃ_ikkÃÂ¦nen,75.133
168,169,26,5,McLaren,23,1,79.957,79.597,81.049,British Grand Prix,9,2008,Heikki Kovalainen,79.597
188,189,27,1,McLaren,22,1,75.218,74.603,75.666,German Grand Prix,10,2008,Lewis Hamilton,74.603
208,209,28,1,McLaren,22,1,79.376,79.473,80.899,Hungarian Grand Prix,11,2008,Lewis Hamilton,79.376
228,229,29,13,Ferrari,2,1,98.176,97.859,98.989,European Grand Prix,12,2008,Felipe Massa,97.859
248,249,30,1,McLaren,22,1,106.887,106.088,107.338,Belgian Grand Prix,13,2008,Lewis Hamilton,106.088
268,269,31,20,Toro Rosso,15,1,95.464,95.837,97.555,Italian Grand Prix,14,2008,Sebastian Vettel,95.464
288,289,32,13,Ferrari,2,1,104.519,104.014,104.801,Singapore Grand Prix,15,2008,Felipe Massa,104.014
308,309,33,1,McLaren,22,1,78.071,77.462,78.404,Japanese Grand Prix,16,2008,Lewis Hamilton,77.462
328,329,34,1,McLaren,22,1,95.566,94.947,96.303,Chinese Grand Prix,17,2008,Lewis Hamilton,94.947
348,349,35,13,Ferrari,2,1,71.83,71.875,72.368,Brazilian Grand Prix,18,2008,Felipe Massa,71.83
368,369,36,8,Ferrari,6,1,86.644,85.644,86.072,Australian Grand Prix,1,2007,Kimi RÃ_ikkÃÂ¦nen,85.644
390,391,37,13,Ferrari,5,1,95.34,94.454,95.043,Malaysian Grand Prix,2,2007,Felipe Massa,94.454
412,413,38,13,Ferrari,5,1,92.443,91.359,92.652,Bahrain Grand Prix,3,2007,Felipe Massa,91.359
434,435,39,13,Ferrari,5,1,81.375,80.597,81.421,Spanish Grand Prix,4,2007,Felipe Massa,80.597
456,457,40,4,McLaren,1,1,76.059,75.431,75.726,Monaco Grand Prix,6,2007,Fernando Alonso,75.431
478,479,41,1,McLaren,2,1,76.576,75.486,75.707,Canadian Grand Prix,7,2007,Lewis Hamilton,75.486
500,501,42,1,McLaren,2,1,72.563,72.065,72.331,United States Grand Prix,19,2007,Lewis Hamilton,72.065
522,523,43,13,Ferrari,5,1,75.303,74.822,75.034,French Grand Prix,8,2007,Felipe Massa,74.822
544,545,44,1,McLaren,2,1,79.885,79.4,79.997,British Grand Prix,9,2007,Lewis Hamilton,79.4
566,567,45,8,Ferrari,6,1,91.522,91.237,91.45,European Grand Prix,20,2007,Kimi RÃ_ikkÃÂ¦nen,91.237
588,589,46,4,McLaren,1,1,80.425,79.661,79.674,Hungarian Grand Prix,11,2007,Fernando Alonso,79.661
610,611,47,13,Ferrari,5,1,87.488,87.039,87.329,Turkish Grand Prix,5,2007,Felipe Massa,87.039
632,633,48,4,McLaren,1,1,81.718,81.356,81.997,Italian Grand Prix,14,2007,Fernando Alonso,81.356
654,655,49,8,Ferrari,6,1,106.242,105.07,105.994,Belgian Grand Prix,13,2007,Kimi RÃ_ikkÃÂ¦nen,105.07
676,677,50,1,McLaren,2,1,85.489,84.753,85.368,Japanese Grand Prix,16,2007,Lewis Hamilton,84.753
698,699,51,1,McLaren,2,1,95.798,95.898,95.908,Chinese Grand Prix,17,2007,Lewis Hamilton,95.798
720,721,52,13,Ferrari,5,1,72.303,72.374,71.931,Brazilian Grand Prix,18,2007,Felipe Massa,71.931
742,743,53,30,Ferrari,5,1,93.31,92.025,91.431,Bahrain Grand Prix,3,2006,Michael Schumacher,91.431
